ab｜복근,종류,수준
ad｜광고,낱말,
ag｜은,낱말,
ah｜아,낱말,
ai｜AI,낱말,
an｜하나의,낱말,
aw｜이런,낱말,
ax｜도끼,낱말,
ay｜예,낱말,
ba｜바,낱말,
bo｜친구,낱말,
da｜아빠,낱말,
do｜하다,낱말,
ed｜편집된,낱말,
ef｜ F,낱말,
eh｜어?,낱말,
el｜고가철도,낱말,
em｜M,낱말,
en｜절반,낱말,
er｜어,낱말,
es｜S,낱말,
et｜그리고,낱말,
ex｜전 연인,낱말,
fa｜파,낱말,
fe｜철,낱말,
fi｜피,낱말,
go｜가다,낱말,
ha｜하,낱말,
he｜그,낱말,
hi｜안녕,낱말,
hm｜흠,낱말,
ho｜호,낱말,
id｜본능,낱말,
if｜만약,낱말,
in｜안에,낱말,
it｜그것,낱말,
jo｜연인,낱말,
ka｜영혼,낱말,
ki｜기,낱말,
la｜라,낱말,
li｜리,낱말,
lo｜봐라,낱말,
ma｜엄마,낱말,
me｜나를,낱말,
mi｜미,낱말,
mm｜음,낱말,
mo｜잠깐,낱말,
mu｜뮤,낱말,
my｜나의,낱말,
na｜아니,낱말,
no｜아니오,낱말,
nu｜뉴,낱말,
ob｜의무,낱말,
od｜과용하다,낱말,
oe｜손자,낱말,
oh｜오,낱말,
oi｜이봐,낱말,
ok｜좋아,낱말,
om｜옴,낱말,
op｜수술,낱말,
or｜또는,낱말,
os｜뼈,낱말,
ow｜아야,낱말,
ox｜황소,낱말,
oy｜이런,낱말,
pa｜아빠,낱말,
pe｜P,낱말,
pi｜파이,낱말,
po｜요강,낱말,
qi｜기,낱말,
re｜레,낱말,
sh｜쉿,낱말,
si｜예,낱말,
so｜그래서,낱말,
ta｜감사,낱말,
ti｜티,낱말,
ug｜역겨운,낱말,
uh｜어,낱말,
um｜음,낱말,
un｜하나,낱말,
up｜위로,낱말,
us｜우리를,낱말,
ut｜도,낱말,
we｜우리,낱말,
wo｜이런,낱말,
xi｜크시,낱말,
xu｜쑤,낱말,
ya｜너,낱말,
ye｜너희,낱말,
yo｜야,낱말,
za｜피자,낱말,
ace｜1등,낱말,
ace｜에이스,낱말,
act｜행동하다,낱말,
add｜더하다,낱말,
ado｜소란,낱말,
age｜나이,낱말,
ago｜전에,낱말,
aid｜도움,낱말,
ail｜아프다,낱말,
aim｜겨냥하다,낱말,
aim｜목표,낱말,
air｜공기,낱말,
alb｜제의,낱말,
ale｜에일맥주,낱말,
all｜모두,낱말,
amp｜암페어,낱말,
and｜그리고,낱말,
ant｜개미,낱말,
ape｜유인원,낱말,
app｜앱,낱말,
apt｜적절한,낱말,
arc｜호(弧),낱말,
arm｜팔,낱말,
art｜예술,낱말,
ash｜재,낱말,
ask｜묻다,낱말,
asp｜독사,낱말,
ate｜먹었다,낱말,
auk｜바다오리,낱말,
awe｜경외심,낱말,
awl｜송곳,낱말,
awn｜수염,낱말,
axe｜도끼,낱말,
aye｜찬성,낱말,
baa｜음메,낱말,
bad｜나쁜,낱말,
bag｜가방,낱말,
ban｜금지,낱말,
bar｜막대기,낱말,
bat｜박쥐,낱말,
bay｜만,낱말,
bay｜만,낱말,
bed｜침대,낱말,
bee｜벌,낱말,
beg｜구걸하다,낱말,
bet｜내기,낱말,
bib｜턱받이,낱말,
big｜큰,낱말,
bit｜조금,낱말,
boa｜보아뱀,낱말,
bode｜예고하다,낱말,
bog｜늪,낱말,
boo｜부(야유),낱말,
bop｜가볍게치다,낱말,
bop｜치다,낱말,
bow｜활/절하다,낱말,
box｜상자,낱말,
boy｜소년,낱말,
bra｜브래지어,낱말,
brr｜으(추위),낱말,
bud｜꽃봉오리,낱말,
bug｜벌레,낱말,
bun｜빵,낱말,
bus｜버스,낱말,
but｜하지만,낱말,
buy｜사다,낱말,
bye｜안녕(작별),낱말,
cab｜택시,낱말,
cad｜비열한남자,낱말,
cam｜카메라,낱말,
cap｜모자,낱말,
car｜자동차,낱말,
cat｜고양이,낱말,
caw｜까악,낱말,
chi｜카이,낱말,
cob｜옥수수속,낱말,
cod｜대구(생선),낱말,
cog｜톱니,낱말,
con｜사기/반대,낱말,
cop｜경찰관,낱말,
cos｜왜냐하면,낱말,
cot｜간이침대,낱말,
cow｜소,낱말,
coy｜수줍은척하는,낱말,
cry｜울다,낱말,
cub｜새끼,낱말,
cud｜되새김질,낱말,
cup｜컵,낱말,
cur｜잡종개,낱말,
cut｜자르다,낱말,
dab｜살짝두드리다,낱말,
dad｜아빠,낱말,
day｜날,낱말,
den｜굴/서재,낱말,
dew｜이슬,낱말,
did｜했다,낱말,
dig｜파다,낱말,
dim｜어두운,낱말,
din｜소음,낱말,
dip｜담그다,낱말,
dis｜무시하다,낱말,
doe｜암사슴,낱말,
dog｜개,낱말,
don｜입다,낱말,
dot｜점,낱말,
dry｜마른,낱말,
dub｜더빙하다,낱말,
dun｜칙칙한,낱말,
duo｜이중주,낱말,
dye｜염색하다,낱말,
ear｜귀,낱말,
eat｜먹다,낱말,
ebb｜썰물,낱말,
eco｜친환경,낱말,
eel｜뱀장어,낱말,
egg｜달걀,낱말,
ego｜자아,낱말,
elf｜요정,낱말,
elk｜엘크(사슴),낱말,
elm｜느릅나무,낱말,
emu｜에뮤(새),낱말,
end｜끝,낱말,
eon｜영겁,낱말,
era｜시대,낱말,
eve｜전날밤,낱말,
ewe｜암양,낱말,
eye｜눈,낱말,
fab｜멋진(속어),낱말,
fad｜유행,낱말,
fan｜팬/선풍기,낱말,
far｜먼,낱말,
fat｜살찐,낱말,
fax｜팩스,낱말,
fee｜수수료,낱말,
few｜적은,낱말,
fib｜사소한거짓말,낱말,
fig｜무화과,낱말,
fin｜지느러미,낱말,
fit｜맞는/건강한,낱말,
fix｜고치다,낱말,
fly｜날다,낱말,
foe｜적,낱말,
fog｜안개,낱말,
fox｜여우,낱말,
fry｜튀기다,낱말,
fun｜재미,낱말,
fur｜털,낱말,
gag｜재갈/농담,낱말,
gal｜소녀(구어),낱말,
gap｜간격,낱말,
gas｜가스,낱말,
gee｜이랴,낱말,
gel｜젤,낱말,
gem｜보석,낱말,
gen｜정보,낱말,
get｜얻다,낱말,
gig｜공연,낱말,
gin｜진(술),낱말,
gnu｜누(동물),낱말,
gob｜입(속어),낱말,
god｜신,낱말,
got｜얻었다,낱말,
gum｜잇몸/껌,낱말,
gun｜총,낱말,
gut｜내장,낱말,
guy｜남자,낱말,
gym｜체육관,낱말,
had｜가졌다,낱말,
ham｜햄,낱말,
has｜가지다,낱말,
hat｜모자,낱말,
hay｜건초,낱말,
hen｜암탉,낱말,
her｜그녀의,낱말,
hew｜찍다,낱말,
hex｜마법,낱말,
hey｜이봐,낱말,
hid｜숨겼다,낱말,
him｜그를,낱말,
hip｜엉덩이,낱말,
his｜그의,낱말,
hit｜치다,낱말,
hoe｜호미,낱말,
hog｜돼지,낱말,
hop｜깡충 뛰다,낱말,
hop｜뛰다,낱말,
hot｜뜨거운,낱말,
how｜어떻게,낱말,
hub｜중심,낱말,
hug｜포옹,낱말,
hug｜포옹하다,낱말,
hum｜흥얼거리다,낱말,
hut｜오두막,낱말,
ice｜얼음,낱말,
icy｜얼음같은,낱말,
ill｜아픈,낱말,
ink｜잉크,낱말,
inn｜여관,낱말,
ion｜이온,낱말,
ire｜분노,낱말,
ivy｜담쟁이덩굴,낱말,
jab｜찌르다,낱말,
jam｜잼,낱말,
jar｜항아리,낱말,
jaw｜턱,낱말,
jet｜제트기,낱말,
jig｜지그(춤),낱말,
job｜직업,낱말,
jog｜조깅하다,낱말,
jot｜메모하다,낱말,
joy｜기쁨,낱말,
jug｜주전자,낱말,
keg｜작은통,낱말,
ken｜알다,낱말,
key｜열쇠,낱말,
kid｜아이,낱말,
kin｜친족,낱말,
kip｜잠,낱말,
kit｜도구세트,낱말,
lab｜실험실,낱말,
lad｜소년,낱말,
lag｜뒤처지다,낱말,
lag｜지연,낱말,
lam｜달아나다,낱말,
lap｜무릎,낱말,
lat｜광배근,낱말,
law｜법,낱말,
lax｜느슨한,낱말,
lay｜눕히다,낱말,
lea｜초원,낱말,
led｜이끌었다,낱말,
leg｜다리,낱말,
let｜허락하다,낱말,
lib｜해방,낱말,
lid｜뚜껑,낱말,
lie｜거짓말,낱말,
lip｜입술,낱말,
lit｜불켜진,낱말,
lob｜느리게던지다,낱말,
log｜통나무,낱말,
lop｜잘라내다,낱말,
lot｜많은,낱말,
lot｜많음,낱말,
low｜낮은,낱말,
lug｜끌다,낱말,
lye｜양잿물,낱말,
mac｜우비,낱말,
mad｜화난/미친,낱말,
man｜남자,낱말,
map｜지도,낱말,
mar｜손상시키다,낱말,
mat｜매트,낱말,
med｜의약(속어),낱말,
meg｜메가,낱말,
mel｜꿀,낱말,
mew｜고양이울음,낱말,
mid｜중간의,낱말,
mix｜섞다,낱말,
mob｜군중,낱말,
mod｜현대적인,낱말,
mom｜엄마,낱말,
moo｜음메,낱말,
mop｜대걸레,낱말,
mow｜베다,낱말,
mud｜진흙,낱말,
mug｜머그컵,낱말,
nab｜붙잡다,낱말,
nag｜잔소리하다,낱말,
nap｜낮잠,낱말,
net｜그물/인터넷,낱말,
new｜새로운,낱말,
nib｜펜촉,낱말,
nil｜영(숫자),낱말,
nip｜꼬집다,낱말,
nit｜이(기생충),낱말,
nob｜귀족(속어),낱말,
nod｜끄덕이다,낱말,
nog｜나무못,낱말,
not｜아닌,낱말,
now｜지금,낱말,
nun｜수녀,낱말,
nut｜견과류,낱말,
oak｜참나무,낱말,
oar｜노(배),낱말,
oat｜귀리,낱말,
odd｜이상한,낱말,
ode｜송시,낱말,
off｜꺼진,낱말,
ohm｜옴(전기),낱말,
oil｜기름,낱말,
old｜오래된,낱말,
ole｜올레(감탄사),낱말,
one｜하나,낱말,
opt｜선택하다,낱말,
orb｜구체,낱말,
orc｜오크(생물),낱말,
ore｜광석,낱말,
our｜우리의,낱말,
out｜밖에,낱말,
owe｜빚지다,낱말,
owl｜올빼미,낱말,
own｜소유하다,낱말,
pac｜모카신,낱말,
pad｜패드,낱말,
pah｜흥(감탄사),낱말,
pal｜친구,낱말,
pan｜냄비,낱말,
pap｜죽,낱말,
par｜동등,낱말,
par｜동등/기준,낱말,
pat｜토닥이다,낱말,
paw｜발톱/발,낱말,
pay｜지불하다,낱말,
pea｜완두콩,낱말,
peg｜말뚝,낱말,
pen｜펜,낱말,
pet｜애완동물,낱말,
pew｜교회좌석,낱말,
phi｜파이,낱말,
pic｜사진(속어),낱말,
pie｜파이,낱말,
pig｜돼지,낱말,
pin｜핀,낱말,
pip｜씨앗,낱말,
pit｜구덩이,낱말,
plod｜터벅걷다,낱말,
pod｜꼬투리,낱말,
poi｜포이(음식),낱말,
pol｜정치인(속어),낱말,
pop｜팝,낱말,
pop｜팝/터지다,낱말,
pot｜냄비,낱말,
pout｜뾰루퉁하다,낱말,
pow｜퍽(의성어),낱말,
pox｜천연두,낱말,
pro｜전문가,낱말,
pry｜캐묻다,낱말,
pub｜술집,낱말,
pun｜말장난,낱말,
pup｜강아지,낱말,
put｜놓다,낱말,
rad｜방사선단위,낱말,
rag｜걸레,낱말,
rai｜라이(음악),낱말,
ram｜숫양,낱말,
ran｜달렸다,낱말,
rap｜두드리다/랩,낱말,
rap｜랩음악,낱말,
rat｜쥐,낱말,
raw｜날것의,낱말,
ray｜광선,낱말,
reb｜반군,낱말,
rec｜레크리에이션,낱말,
red｜빨간,낱말,
ref｜심판,낱말,
rep｜대리인,낱말,
